Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",120.000000,-41.000000,90.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",146.000000,-41.000000,90.000000,top
"C3","1u","CP_Radial_D5.0mm_P2.00mm",142.544888,-91.500000,0.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",114.000000,-89.500000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",122.500000,-80.000000,90.000000,top
"D1","LED","LED_D5.0mm",151.000000,-54.540000,90.000000,top
"D2","LED","LED_D5.0mm",159.000000,-54.540000,90.000000,top
"D3","LED","LED_D5.0mm",167.000000,-54.540000,90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",126.150000,-35.000000,0.000000,top
"D5","LED","LED_D5.0mm",176.000000,-54.540000,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",111.117500,-61.000000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",141.000000,-51.000000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",156.000000,-44.080000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",161.000000,-44.080000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",166.000000,-44.080000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",171.000000,-44.080000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.500000,-77.000000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.500000,-81.000000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",155.000000,-91.050000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.500000,-84.500000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.500000,-91.000000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",164.000000,-91.000000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",168.000000,-91.000000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",172.000000,-91.000000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",151.000000,-91.000000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.500000,-90.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.000000,-63.500000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.050000,-74.000000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.000000,-67.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.000000,-70.500000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",106.000000,-81.500000,90.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",106.000000,-75.000000,90.000000,top
"SW1","SW_MEC_5G","SW_PUSH_6mm_H4.3mm",151.750000,-100.750000,0.000000,top
"SW2","SW_SPDT_312","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",125.500000,-71.500000,90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",127.690000,-40.690000,0.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",142.190000,-63.110000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",155.190000,-63.110000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",168.190000,-63.110000,0.000000,top
"U5","HDSP-7401","HDSP-7401",192.532500,-66.982500,0.000000,top
"U6","SN74LVC1G11","SOT-23-6",132.500000,-68.000000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",110.195000,-74.690000,0.000000,top
